iso_code,name,state,country,zone
91001,Leticia,AMA,CO,6
91263,El Encanto,AMA,CO,6
91405,La Chorrera,AMA,CO,6
91407,La Pedrera,AMA,CO,6
91430,La Victoria,AMA,CO,6
91460,Miriti - Parana,AMA,CO,6
91530,Puerto Alegria,AMA,CO,6
91536,Puerto Arica,AMA,CO,6
91540,Puerto Nariño,AMA,CO,6
91669,Puerto Santander,AMA,CO,6
91798,Tarapaca,AMA,CO,6
05001,Medellin,ANT,CO,6
05002,Abejorral,ANT,CO,6
05004,Abriaqui,ANT,CO,6
05021,Alejandria,ANT,CO,6
05030,Amaga,ANT,CO,6
05031,Amalfi,ANT,CO,6
05034,Andes,ANT,CO,6
05036,Angelopolis,ANT,CO,6
05038,Angostura,ANT,CO,6
05040,Anori,ANT,CO,6
05042,Santafe De Antioquia,ANT,CO,6
05044,Anza,ANT,CO,6
05045,Apartado,ANT,CO,6
05051,Arboletes,ANT,CO,6
05055,Argelia,ANT,CO,6
05059,Armenia,ANT,CO,6
05079,Barbosa,ANT,CO,6
05086,Belmira,ANT,CO,6
05088,Bello,ANT,CO,6
05091,Betania,ANT,CO,6
05093,Betulia,ANT,CO,6
05101,Ciudad Bolivar,ANT,CO,6
05107,Briceño,ANT,CO,6
05113,Buritica,ANT,CO,6
05120,Caceres,ANT,CO,6
05125,Caicedo,ANT,CO,6
05129,Caldas,ANT,CO,6
05134,Campamento,ANT,CO,6
05138,Cañasgordas,ANT,CO,6
05142,Caracoli,ANT,CO,6
05145,Caramanta,ANT,CO,6
05147,Carepa,ANT,CO,6
05148,El Carmen De Viboral,ANT,CO,6
05150,Carolina,ANT,CO,6
05154,Caucasia,ANT,CO,6
05172,Chigorodo,ANT,CO,6
05190,Cisneros,ANT,CO,6
05197,Cocorna,ANT,CO,6
05206,Concepcion,ANT,CO,6
05209,Concordia,ANT,CO,6
05212,Copacabana,ANT,CO,6
05234,Dabeiba,ANT,CO,6
05237,Don Matias,ANT,CO,6
05240,Ebejico,ANT,CO,6
05250,El Bagre,ANT,CO,6
05264,Entrerrios,ANT,CO,6
05266,Envigado,ANT,CO,6
05282,Fredonia,ANT,CO,6
05284,Frontino,ANT,CO,6
05306,Giraldo,ANT,CO,6
05308,Girardota,ANT,CO,6
05310,Gomez Plata,ANT,CO,6
